pair,date,direction,abs_z,z_velocity,spread_vol,half_life,spread_slope,corr_recent,beta,coint_pvalue,market_vol,ret_a_5d,ret_b_5d,mom_a_252,mom_b_252,mom_rel,corr_baseline,corr_change,comembership,coint_recent_pvalue,vol_ratio,sector_dispersion,detach_max,adf_stat,hurst,vix_level,vix_change,vol_spike_max,n_pairs_extreme,z_rank,reverted,reverted_5,reverted_20,reverted_safe
MET/USB,2023-04-13,1,2.276957941509376,-0.014013721690514735,0.021976884008020538,68.29801133598718,0.005374419761315627,0.7793188221196841,0.785,0.0375,0.009424586548123934,0.018913218090938155,0.007660602618263734,-0.1367549820549252,-0.33370767352235564,0.19695269146743044,0.7285977967189444,0.05072102540073964,0.7698412698412699,0.8300032459228894,0.6556738034679598,0.044009397393911985,0.025502697235258664,-1.0290755252715675,0.45009146989982635,14.961067329564361,-0.1324053708236459,1.2155001596981363,1,0.9811320754716981,0,0,1,0
AMT/CCI,2023-04-14,1,2.410728241892383,1.5243324273431162,0.029390259333812323,41.44847926507352,0.01243390158220716,0.8310386199404138,1.492,0.0145,0.008888501368378154,0.008378781530954171,-0.039065836195524284,-0.18960089717500495,-0.3658849578903203,0.17628406071531533,0.8773838149134793,-0.04634519497306544,1.0,0.3864033646342955,1.0206020491394538,0.05725428442656448,0.13902314482873157,-1.8553912821359866,0.3308417176842159,14.110058489271546,-2.161312898927422,1.0233932503821905,2,0.9622641509433962,0,0,0,0
BDX/ISRG,2023-04-19,-1,2.5451884526003434,-2.8546483194475742,0.015281244507332528,28.739730142944794,-0.01095566989808861,0.4437271267227769,0.518,0.0153,0.0073820673546323235,0.019505337128160605,0.1315382220848349,0.009501417844921534,0.07733623536864354,-0.067834817523722,0.5327215650304198,-0.08899443830764286,0.5714285714285714,0.37087553750261454,0.4630368765892945,0.055863244573889165,0.20450770670898272,-1.7384107428954836,0.36035089822265576,11.71866862913135,-6.057409515909736,1.0196725350139113,3,0.9622641509433962,0,0,0,0
ISRG/BSX,2023-04-19,1,3.43734464294678,2.3669242625372107,0.040678348907132976,16.95151332816913,0.020644105179550405,0.6070003706599923,0.574,0.0401,0.0073820673546323235,0.1315382220848349,0.03423408881576151,0.07733623536864354,0.18995121991552288,-0.11261498454687935,0.702636271925434,-0.09563590126544164,0.6746031746031746,0.19260972885410976,2.2230858096142296,0.055863244573889165,0.20443722789021096,-1.1906272977539496,0.45038736370492016,11.71866862913135,-6.057409515909736,1.0196725350139113,3,0.9811320754716981,0,0,0,0
MET/USB,2023-04-20,1,2.462887591084638,-0.34603588540608277,0.030389166911934887,79.97097947127483,0.0010884374467473585,0.7780040832851476,0.785,0.0375,0.007253348846541759,0.017083063627695516,-0.01767955709376423,-0.13736655280293597,-0.37356786778425066,0.2362013149813147,0.7321667381057787,0.04583734517936888,0.7698412698412699,0.8253607869916637,0.6604747701073379,0.04565581839647304,0.02311183785844828,-1.0862364300180039,0.5011461259555967,11.514334332208017,-6.42313324507945,0.7862172362566499,4,0.9433962264150944,0,0,1,0
BDX/MDT,2023-04-20,1,2.0370334197721682,0.36634596151579113,0.029331829098262742,32.779537499698456,0.001252383351963885,0.4879547993469599,0.467,0.0204,0.007253348846541759,0.021652395797134183,0.02302035691994142,0.008304549012607687,-0.24474053189937006,0.25304508091197775,0.6235479593764811,-0.1355931600295212,0.746031746031746,0.36302349403464534,0.7455430266418718,0.05694960265341892,0.13460083192949135,-1.6122354202582732,0.6207157811776838,11.514334332208017,-6.42313324507945,0.9522328961236562,4,0.9245283018867925,1,1,1,1
NEE/SO,2023-04-21,-1,2.0684798029420404,-0.6478290233481623,0.01781670313992136,33.818300527470846,-0.002320355935460244,0.7627105009777175,0.988,0.0187,0.005531106175202018,0.012356286745425216,0.02294819181232377,-0.00938198643586663,0.0003876943491469831,-0.009769680785013612,0.6746760191825985,0.08803448179511908,0.8333333333333334,0.6194738685483403,0.9983208121743361,0.017731931510963864,0.019330447794682293,-0.7898011908557788,0.3686730107808555,8.780358848806916,-9.159370636440766,0.8507922192696558,5,0.9245283018867925,0,0,0,0
AMT/CCI,2023-04-21,1,2.7618507971659416,1.4482986352869989,0.031680815043203754,39.95992100274468,0.014859444799825991,0.824030112934689,1.492,0.0145,0.005531106175202018,-0.01338120180935043,-0.025859571188992625,-0.24266161710328582,-0.4113357660338064,0.16867414893052057,0.8693031650399645,-0.045273052105275546,1.0,0.4675409137179147,0.9407686314684277,0.03858341881064402,0.08347457000693637,-1.5553153454674653,0.33297936420857727,8.780358848806916,-9.159370636440766,0.9946548886167221,5,0.9433962264150944,0,0,0,0
DE/PCAR,2023-04-25,-1,2.5448871771689476,-1.2720402641625075,0.030728780179139995,18.02670066448738,-0.011600075216653414,0.6082086987922242,0.61,0.0403,0.006568916703250127,-0.044379495958328796,0.023263252192260886,-0.04872333734641909,0.3118218822400758,-0.3605452195864949,0.6135622080474252,-0.005353509255201061,0.6349206349206349,0.36975914899824047,1.420109731027734,0.031955648198289714,0.053537670106573954,-0.5587283596312003,0.4170771559862659,10.427831987938866,-7.704343183374835,1.012652769664581,6,0.9245283018867925,0,0,0,0
NEE/ED,2023-04-25,-1,2.4373763352361926,-1.0663964928771559,0.0319820792841609,28.5986610335635,-0.012183368810761746,0.6777372596402519,1.688,0.0289,0.006568916703250127,-0.0061495204666108805,0.029104740827730957,0.07303143974618465,0.07362791643810507,-0.0005964766919204223,0.65538442141002,0.02235283823023193,0.8333333333333334,0.5751070704696066,0.9645559815554429,0.020701020262590956,0.01764763380725365,-1.493857529010269,0.16786825343985248,10.427831987938866,-7.704343183374835,0.7315746882377726,6,0.8867924528301887,0,0,1,0
MSFT/TMO,2023-04-26,1,3.2246561550175437,2.200869618222981,0.04907128291569414,13.968789835824671,0.022039828564778863,0.32145785297991897,1.202,0.0183,0.0069910860572299695,0.023707038773237876,-0.08412524286809298,0.06063359174465788,-0.018184244757910584,0.07881783650256846,0.6107124469218357,-0.2892545939419167,0.6428571428571429,0.545928437446366,1.3414854740444566,0.044130604518289075,0.1419467048522095,-0.3126292853435651,0.479004350009503,11.098005061008944,-7.011821104671402,1.0730234080858656,9,0.9433962264150944,0,0,0,0
MCO/SPGI,2023-04-26,1,2.191018509831219,2.2546150016373416,0.016020009496554948,19.431334636484724,0.01148354256115942,0.8697410850789036,0.981,0.0405,0.0069910860572299695,0.005854968305684771,-0.034564622753321395,-0.055647186088815026,-0.10453403133630967,0.04888684524749465,0.9131118923431435,-0.04337080726423992,1.0,0.8078582252015855,1.0547921014632056,0.04845599416923109,0.21761425227656983,-1.5257534053719497,0.3107847919672506,11.098005061008944,-7.011821104671402,0.7116381894100184,9,0.8490566037735849,1,1,1,1
AMZN/INTU,2023-04-26,1,2.1087300681575503,0.43028886442679615,0.03157481277018432,30.00945653994032,0.008557656707919324,0.7271808104408665,0.482,0.0426,0.0069910860572299695,0.006498496534891096,-0.07403363671636143,-0.33034348991596385,-0.06991873430000961,-0.26042475561595424,0.7845829190197969,-0.057402108578930466,1.0,0.538085308959125,1.1199414263199845,0.0833200170550093,0.11826431958195138,-1.5721444070798754,0.490644254106442,11.098005061008944,-7.011821104671402,0.9771267258277665,9,0.8301886792452831,1,1,1,1
ISRG/BSX,2023-04-26,1,2.3667276225961227,-0.9790039953488527,0.05817544083506485,23.918572055205093,-5.358414547192018e-05,0.6043764456390682,0.574,0.0401,0.0069910860572299695,-0.012164710777970988,-0.03442980618885594,0.14510572139359912,0.13627484528760858,0.008830876105990537,0.6646577455382271,-0.06028129989915887,0.6587301587301587,0.46002192413746784,1.9156580663875544,0.059678347248196595,0.25657922387875237,-1.062380022549861,0.4443093838636313,11.098005061008944,-7.011821104671402,0.9876450802636588,9,0.8867924528301887,0,0,0,0
